index,GID_LON,GID_LAT,T2000_01,T2001_01,T2002_01,T2003_01,T2004_01,T2005_01,T2006_01,T2007_01,T2008_01,T2009_01,T2010_01,T2011_01,T2012_01,T2013_01,T2014_01
38371,83.75,35.340314136125656,-6.364929,-7.018921,-5.72229,-5.689453,-5.5379333,-6.581909,-6.5628357,-6.0660095,-6.2507935,-6.0888367,-5.645569,-4.8326416,-5.007019,-5.5393677,-5.3433533
38372,85.0,35.340314136125656,-6.5515747,-7.2076416,-6.036316,-5.928955,-5.6348267,-6.71521,-6.7810974,-6.043518,-6.330261,-6.292328,-5.8953857,-5.0355225,-5.152771,-5.7246094,-5.3566895
38373,86.25,35.340314136125656,-6.2052,-6.9293823,-5.9679565,-5.7003174,-5.382263,-6.4208984,-6.6376038,-6.1044617,-6.231201,-6.140686,-5.8002625,-4.8077393,-5.0021973,-5.4956055,-4.9485474
38374,87.5,35.340314136125656,-5.9299316,-6.527588,-5.4675293,-5.2277527,-5.162781,-6.083313,-6.248352,-5.846863,-5.877289,-5.7365417,-5.4689636,-4.4246216,-4.84079,-5.2256775,-4.607849
38375,88.75,35.340314136125656,-5.6990967,-6.3397827,-5.1254272,-4.9062195,-5.060486,-5.8923645,-5.965027,-5.580261,-5.6396484,-5.4283447,-5.2106323,-4.1745605,-4.5220947,-4.9423523,-4.513794
38376,90.0,35.340314136125656,-5.818939,-6.333618,-5.2470093,-4.9090576,-5.109009,-5.992523,-5.5507507,-5.508362,-5.554901,-5.2487793,-5.3200073,-4.3199463,-4.641968,-5.0092773,-4.561981
38377,91.25,35.340314136125656,-5.4682007,-5.8711853,-4.878784,-4.7234497,-4.970093,-5.5573425,-4.9517517,-5.2197266,-5.472595,-4.9259033,-4.951233,-3.9471436,-4.3543396,-4.724945,-4.2193604
38378,92.5,35.340314136125656,-3.9605408,-4.584076,-3.5725708,-3.4967651,-3.616516,-4.1239014,-3.5618286,-3.9451294,-4.137512,-3.5212097,-3.4204712,-2.6518555,-3.039795,-3.2905884,-2.969513
38379,93.75,35.340314136125656,-2.783844,-3.3884888,-2.4172668,-2.4777832,-2.1417236,-2.6085205,-2.5899048,-2.5454102,-2.6348877,-2.4798584,-2.3329773,-1.544281,-1.8544312,-2.0611267,-1.8057556
38380,95.0,35.340314136125656,-1.8821716,-2.3993835,-1.5892944,-1.3720093,-1.1238403,-1.5787354,-1.6515808,-1.4467163,-1.6442261,-1.5749512,-1.4608765,-0.68099976,-0.8670044,-1.0427246,-0.86376953
38381,96.25,35.340314136125656,-1.5708313,-2.067688,-1.3745728,-1.1822205,-0.94085693,-1.2626648,-1.2861023,-1.093689,-1.2768555,-1.2853699,-1.207489,-0.47833252,-0.6238098,-0.7124939,-0.57873535
38644,65.0,36.282722513089,15.854065,16.195557,15.6675415,15.731812,15.763733,15.7146,15.845306,16.083557,16.028076,15.5763855,16.22699,15.760193,16.035522,15.82962,16.22937
38645,66.25,36.282722513089,14.635895,14.809113,14.288055,14.355347,14.441772,14.343201,14.477295,14.760773,14.677307,14.188416,14.960327,14.512207,14.908203,14.437256,14.870728
38646,67.5,36.282722513089,13.914185,14.103516,13.780579,13.692871,13.923401,13.686432,13.793457,14.11319,14.101471,13.547119,14.364319,13.897278,14.294464,13.737427,14.226074
38647,68.75,36.282722513089,12.679565,12.860504,12.758087,12.526886,12.810974,12.491577,12.5408325,12.778564,12.845703,12.376099,13.313049,12.79718,13.1649475,12.448242,13.103882
38648,70.0,36.282722513089,6.340637,6.5902405,7.0197144,6.767395,6.840576,6.20636,6.3815613,6.583008,6.8313293,6.4212646,7.16687,6.877594,7.0701294,6.412384,7.380249
38649,71.25,36.282722513089,0.7480469,0.535553,0.9869995,0.45916748,0.8215637,0.08734131,0.43502808,0.6366272,0.7411499,0.47583008,1.427063,1.3584595,1.0973816,0.74087524,1.1572876
38650,72.5,36.282722513089,-1.1311035,-1.2130127,-0.87127686,-1.3304443,-0.9186096,-1.642456,-1.222992,-1.2486572,-1.1767578,-1.2701416,-0.51034546,-0.33688354,-0.60235596,-0.9871826,-0.5480652
38651,73.75,36.282722513089,-1.7787781,-1.7094116,-1.3833008,-1.8504028,-1.4715271,-2.2410278,-1.749115,-1.8988342,-1.7993164,-1.7296143,-1.1620789,-0.9882202,-1.1837769,-1.454956,-1.0983887
38652,75.0,36.282722513089,-4.3984985,-4.4924316,-3.6586304,-4.469696,-4.0856323,-4.6543884,-4.1049194,-4.358856,-4.4432373,-4.21521,-3.6611023,-3.4328613,-3.5980225,-4.026947,-3.5986938
38653,76.25,36.282722513089,-5.7286987,-5.51062,-4.8925476,-5.6657104,-5.201233,-5.6903076,-5.256836,-5.279907,-5.5352783,-5.320648,-4.77536,-4.4477234,-4.6071167,-5.250641,-4.8165283
