index,GID_LON,GID_LAT,T2000_01,T2001_01,T2002_01,T2003_01,T2004_01,T2005_01,T2006_01,T2007_01,T2008_01,T2009_01,T2010_01,T2011_01,T2012_01,T2013_01,T2014_01
28276,65.0,2.356020942408378,1949.7023989475565,2195.721528059221,2168.4090845257742,2783.603309895261,2200.309164351347,2541.0866902791895,2481.10294911603,2624.6587323228596,2978.8189371902263,3008.097144351632,2582.4890377247357,2400.102884696389,2115.883442901395,2740.0914797173755,2615.496712915774
28277,66.25,2.356020942408378,1975.6708668573992,2230.81726396631,2306.459695290687,3017.630392566207,2237.409347319044,2582.014644832816,2562.918843331863,2645.2598873293027,2937.587759719463,3077.3986737651285,2572.969103822834,2435.5473197851097,2181.6329421031696,2855.283836617309,2733.02282072691
28278,67.5,2.356020942408378,2043.71133717068,2284.5617635699455,2361.553836422536,3119.720424900879,2299.2903600563295,2686.406667967094,2609.122866530379,2605.9589322656393,2867.0877139025833,3011.1451584278257,2565.5808825671556,2467.0008141016297,2261.9883294857573,2945.063278752059,2856.494355748873
28279,68.75,2.356020942408378,2129.5463212154573,2361.149907685831,2369.6535161536303,3181.308445979812,2357.063663289591,2709.556680073729,2694.962980280252,2692.2117917842115,2845.085567786009,2947.955418890342,2602.235911759635,2478.280453176558,2376.233306600625,2942.6463154035446,2984.6732249687193
28280,70.0,2.356020942408378,2138.011143844051,2392.9970442513877,2475.2958267126814,3271.2582804713747,2363.5118605874595,2700.427261122968,2767.6426027894195,2764.425759653386,2888.9262200842495,2993.328138710058,2649.178282389039,2538.7603007089638,2397.433132302831,2983.7686344064423,2984.805387032975
28281,71.25,2.356020942408378,2207.420903626189,2483.402758558077,2489.9209970230004,3328.490716485976,2396.2782129019615,2733.964917778212,2877.1416316667455,2751.7705532867694,2956.0666981866234,3112.475046100735,2651.216091997776,2673.1205818046874,2408.3354487564065,2914.8866882009315,2998.4154110759846
28282,72.5,2.356020942408378,2262.6738215782098,2565.4696408557356,2348.88170761551,3232.9700054309797,2433.5895146170515,2671.784621788538,2904.251565472805,2650.7375256514933,2954.34907135932,3010.0525714165997,2689.7254712646827,2744.948464538902,2512.7529730256356,2847.474125172448,2936.322584070149
28283,73.75,2.356020942408378,2343.2824822637485,2670.440575043176,2267.7803843114816,3090.3885134714074,2479.0808755416947,2585.081818472827,2862.418733839877,2599.8205807016348,2875.777879820089,2953.0799826970906,2764.197539734596,2648.9981856415397,2658.9981669523695,2879.0685877378564,2877.591443586425
28284,75.0,2.356020942408378,2307.881946476118,2643.746454045686,2286.9060033197457,2983.9640708160005,2497.1628277242417,2581.488402967807,2887.721851527749,2649.152357732237,2830.0548222090583,2913.1388344365405,2751.7180855065817,2489.6179211165872,2652.356134555157,2875.012068972137,2875.5231135168287
28285,76.25,2.356020942408378,2234.4387818709947,2476.568042004874,2296.2235845927353,2857.868641054665,2490.4400983577943,2605.2658369619166,2909.239256271394,2682.676632017683,2718.9614673581673,2831.4423975069076,2649.176515117142,2480.1221078632807,2550.5797574704047,2770.125759788789,2809.2612711843685
28286,77.5,2.356020942408378,2206.0008097527316,2268.7266451583127,2242.9756566194555,2740.3597000688023,2486.893484152097,2641.931702416332,2827.3343672510237,2719.9879310872348,2543.9557496487396,2776.5406507300213,2616.670217448336,2596.8457944087277,2437.484049757768,2711.347979488346,2749.4780475732114
28287,78.75,2.356020942408378,2159.9014889012324,2218.0248322241823,2185.1368206549523,2640.5766182171647,2425.802855141228,2689.6036920603365,2725.583862187341,2641.9455235329224,2440.51086428517,2752.9507566068787,2631.851869680395,2642.468920383544,2348.6435685132165,2643.2955017451604,2719.200097646535
28288,80.0,2.356020942408378,2049.3389565730467,2209.368110205105,2141.426898526697,2581.1211385451315,2318.48166291893,2689.076026031398,2687.1885072730947,2499.000587366754,2417.3744390602224,2595.0734520039987,2613.169175974326,2569.1810496427934,2363.195885049936,2516.224162040453,2692.8458227368537
28289,81.25,2.356020942408378,1992.9468055197503,2187.3086302402953,2125.4408775166667,2515.654168697074,2216.957652870042,2706.649726931937,2656.8067644751864,2428.014819690725,2372.2590482386295,2426.236848346889,2570.241790464206,2429.9155368426,2329.9180240166606,2436.0398511154926,2674.2292581737274
28290,82.5,2.356020942408378,1993.614276952576,2123.3447388331115,2059.4577327836305,2470.5285919771995,2162.610570061952,2756.1002895701677,2638.65332583664,2367.017348841182,2385.1379356055986,2338.7303736177273,2606.5229731742875,2344.0919645167014,2276.50119511527,2361.0955182331963,2635.2317987271817
28291,83.75,2.356020942408378,2054.520757764112,2113.8464555246173,1992.8675309856771,2557.9800034698565,2179.4457743730163,2778.6099551827647,2524.8564660956617,2356.7530409723986,2391.372800344834,2388.5961549938656,2615.765246161027,2371.651660939824,2294.058385382232,2283.381074295903,2635.023476870265
28292,85.0,2.356020942408378,2074.690005951561,2100.738653706503,2000.0668187283736,2623.1133191875415,2177.181210316485,2779.6337026840774,2453.1956295773853,2337.484101386508,2376.225875748787,2392.320775362896,2641.9591742840566,2351.273055448837,2352.8618010590435,2202.6790781717864,2675.5759561870946
28293,86.25,2.356020942408378,2165.3360233583953,2104.6423547857557,2058.413379034755,2611.2595363520086,2181.8768434168305,2813.140516882413,2437.117687286809,2242.8566167945974,2401.1403025710024,2394.75189037621,2727.1215822547674,2345.6048332169303,2457.337273543817,2118.7472505960613,2595.9046400006628
28294,87.5,2.356020942408378,2325.0548565527424,2073.259089901694,2081.902258258924,2577.7579769783188,2268.4687309199944,2874.328832613537,2489.855799515499,2196.3454226846807,2402.3323391018494,2422.5857973040547,2713.122700677195,2375.866823476099,2489.6387144573964,2073.8040197174996,2528.598368744133
28295,88.75,2.356020942408378,2366.5670580463484,1984.4851025110984,2056.4064459409565,2514.5185579138342,2272.503117303131,2855.308160651475,2559.357768431073,2188.6983726988547,2375.1506152839283,2378.718980436679,2594.9190803978126,2389.6952762879664,2536.6629308089614,2161.954228657123,2471.8438228068408
28296,90.0,2.356020942408378,2340.3503884677775,1898.7264301154937,2070.305545728479,2538.268212918774,2304.0868579410017,2766.0434506600723,2541.791742865462,2249.2565091059078,2338.209612443461,2296.9215051387437,2480.2563602890586,2362.872296740534,2579.3697707922547,2233.3328197390074,2444.2006847733865
28297,91.25,2.356020942408378,2326.293268916197,1880.5604585868423,2119.0328245647834,2555.278261739295,2302.2741899709217,2731.7695505102165,2486.56028858386,2380.4365772986785,2267.442568487604,2248.7394450581633,2503.841738923802,2345.83935814735,2545.692802911799,2194.42747431749,2383.1383806624217
28298,92.5,2.356020942408378,2281.3663670327514,1931.003434719969,2150.967942729767,2503.59479461913,2342.765470681479,2782.025944814086,2484.302150225267,2390.472562413197,2294.180940593651,2237.5404689926654,2583.349906577496,2320.3900031890953,2477.272517683741,2120.3428769105813,2387.7868186711567
28299,93.75,2.356020942408378,2315.7246280519757,2083.3003066400124,2239.3121606539353,2536.84787179227,2421.600495078019,2898.905162065057,2602.4700082896743,2499.9793658789713,2372.300211444235,2380.5870589683764,2692.571711767232,2368.0247519456316,2561.272634693887,2188.749100919813,2468.360494694207
